"","text"
"11","poor value stayed monaco seattle july nice hotel priced night hotel takes beating quotient experience simply average nothing exceptional paying nt ca nt terribly disappointed wife stayed nicest suites night felt like overpaying best advice shop qualitywise league average marriott nice best western "
"12","nice value seattle stayed nights late looked comparable hilton marriott westin area pointsmiles nt gave monaco shot pleasantly surprised nice room service quick tasty bed especially comfortable unlike people nothing positive things say service downside relatively small exercise room treadmill heck east coast time ran person days definitely stay "
"13","nice hotel good location hotel kimpton design whimsical vibe fun staff young casual problem hotel busy stay friendly helpful group reserved rooms gave connecting rooms fuss busy weekthe rooms decent size huge pretty average city hotel beds nice bathrooms clean bright pocket doors ideal busy bathroom room design bright cheery flat panel tv location little noisy fine th floor location convenient walkable attractions new central library sam art museum benaroya concert hall pike place market parking steep night evening wine receptions popular "
"14","nice hotel nice staff hotel lovely staff quite rude bellhop desk clerk going way make things difficult waited forever check heavy bags help getting throught double doors room worst desk clerk checking tap tap tap car waited pick minutes got home noticed dollar hold credit card took phonecalls faxes week resolved stay warwck th lenora rooms okbut al friendly faces tiring day airport "
"15","great hotel night quick business trip loved little touches like goldfish leopard print robe complaint wifi complimentary internet access business center great location library service fabulous "
"16","horrible customer service hotel stay february rd th friend picked hotel monaco appealing website online package included champagne late checkout free valet gift spa weekend friend checked room hours earlier came later pulled valet young man just stood asked valet open said pull bags didn„á„© offer help got garment bag suitcase came car key room number says valet car park car street pull left key working asked valet park car gets went room fine bottle champagne oil lotion gift spa dressed went came got bed noticed blood drops pillows sheets pillows disgusted just unbelievable called desk sent somebody minutes later swapped sheets left apologizing sunday morning called desk speak management sheets aggravated rude apparently manager kind supervisor weekend wait monday morning young man spoke said cover food adding person changed sheets said fresh blood rude tone checkout pm package booked staff maids tried walk room opening door apologizing closing people called saying check remind package finally packed things went downstairs check quickly signed paper took way took closer look room unfortunately covered food offered charged valet called desk ask charges lady answered snapped saying aware problem experienced monday like told earlier life treated like hotel sure hotel constantly problems lucky ones stay recommend anybody know "
"17","disappointed say anticipating stay hotel monaco based reviews seen tripadvisor definitely disppointment decor room hotel envisioned nice housekeeping staff impressive extremely polite cheery helpful desk bellmen standard customer service lots little things easily overlooked broken make mirror sagging post bathroom jiggly entrance handle room nt feel secure handle nearly falling door husband early morning flight midweek asked cab called suggested cab ride cost double private car flatrate nt case knew cost cab car bell staff insisted like taxi ride cab driver later explained bell staff kick referrals preferred guests city andor hotel hotel staff looking best interests new years planned dining restaurant hotel new year day came dressed dinner told desk closed holiday asked nearby response good luck finding today good luck thanks help feature needed hotel business centre work downstairs service completely semifuncitional internet service outsourced ended spending money nt work refund hours vacation time troubleshooting internet company toll free service line asked desk times assistance told worst experience time asked desk assistance got response included shrug say oh bad majority staff attitude just simply care needed help dared intrude time got snotty response occasions caught desk girls smirking thought turned nt talk frustrating honesty nt wait check nice decor liked goldfish housekeeping staff great end hotel want dash door nt way concerned taking greet pretty ignored desk area unless approached time street westin saw nothing smiling faces coming going hotel "
"18","fantastic stay monaco seattle hotel monaco holds high standards kimpton hotel line stayed kimpton hotels cities easily say seattle hotel monaco best seen service attentive prompt based member kimpton loyalty program upgraded th floor room great view th street excellent public library kittycorner hotel highly recommend tour public library blown away room quite spacious beautiful flatscreen television dvdcd player exercise room pretty standard kimpton size means adequate outstanding eliptical cardio machines stationary bikes personal viewing screens cardio machine screens accept dvd seen kimpton hotels hotel monaco line particular hotel lobby stylish quirky inviting easy imagine spending time relaxing comfortable overstuffed chairs restaurant attached hotel sazerac good far eaten lunch look forward breakfast tomorrow kimpton properties able connect free highspeed internet ethernet seconds cruising web checking email office problems opinion ca nt wrong kimpton hotel seattle hotel monaco certainly excellent choice "
"19","good choice hotel recommended sister great location room nice comfortable bed quiet staff helpful recommendations restaurants pike market block walk stay "
"20","hmmmmm say really high hopes hotel monaco chose base girlfriend shopping trip seattle stay say given competition seattle just okay hotel lot nice features little things detract bedding super soft luxurious comforters pillows mattress rock hard standard hotel bed kept awake nights furnishings nice colors patterns fun chair rip wall paper peeling stayed room noise like fog horn vibrated walls stay guess water pipes really annoyingon waking morning packages decaf instead regular coffee took minutes send coffee showed just package coffee town usa little package tiny dried creamers supposed coffee service lobby saw cleared really early gone wine reception boy better time walk like look manager like trying scope nd glass food plate goldfish crackers classyfriday night restaurant bar closed pm private party planned eat heard fun bar bummer add restall hotel posters say things like hotel comfort felt catered comfortable staff asked said hello looking visit "
"21","service service service spent week gfriend labor day bumbershoot gray line airporter drops corner hotel person cab total make sure flat rate town car location central downtown street w it„á„© quick walk points tourist business yes space needle bit far monorail westlake center easy walk away tourist underground tour public market space needle emp leave bit room luggage shopping great neighborhood safe clean room mediterranean suite quite large equipped twoperson jacuzzi tub small stand glassenclosed shower room view care room clean small throw blanket adorned foot bed took tastefully decorated walls striped trust wont feel like stale hotel ask gold fish bring wellbehaved dog companyservice aspects excellent desk house keeping concierge room service bell desk ready provide warm professional service test don„á„© flinchgym open hours newer cardio machines dumbbells highest weight water towels tv gold„á„© walking distancegastronomy sazerac worth try impressive it„á„© amusingthis visit seattle monaco like beds westin better prefer monaco afford w gfriends visit wants bumbershoot year stay hotel monaco "
"22","excellent stay delightful surprise stay monaco thoroughly enjoyed stay room comfortable lovely amenities friendly staff especially enjoyed hour indulgence definitely come "
"23","good value downtown hotel monaco seattle great option pricey area town rooms w street going close night hotel monaco unique interesting cozy bedlinens quality aveda products bathroom nice touchyou close downtown quick cab ride away nightlife restaurants loved lola experience quirky luxurious funi definitely stay "
"24","hotel monaco great location service hotel monaco centrally located provides excellent service recently stayed originally checked slight problem informed booked queen beds expedia room king bed fortunately fellow guest checking time swapped rooms future reference booking expedia recommend double checking hotel ensure receive correct room staff stated better book hotel directly match online rates additionally concierge marco helpful sat night called salty make reservations brunch day informed seats available following day concierge called restaurant hours wanted dine able book table great window view hotel blocks away pike place market seattle art museum shopping district walking distance space needle experience music project attractions ammenities services provided hotel include pet goldfish wine tasting yoga mat use room seattle recommend taking helicopter tour mt st helens hoffstadt visitor center "
"25","great location need internally upgrade advantage north end downtown seattle great restaurants nearby good prices rooms need updated literally thought sleeping bed old pillows sheets net result bad nights sleep stay location staff friendly "
"26","nt mind noise place great read reviews noise used hotel website book room interesting site gives checkbox options room farthest elevator room higher floor quiet room getting quietest room possible checked hoping got th floor floors hall elevator listened trucks ambulance sirens night sheeeesh aside heating units sound like small plane engines hear surrounding roomsif noise sleeps facilities clean conveniently located reasonably priced staff quite helpful "
"27","loved stayed warwick overnight getway enjoy christmas shopping warwick exceeded expectations staff wonderful extrememly friendly room clean service lounge wonderful came contact hotel friendly women bathroom lever lounge well think haunted totally creepy vibe lights anywho really enjoyed stay going couple days "
"28","met expectations centrally located hotel blocks water popular nightlife shopping options belltown downtown classify property star location paid wedding rate sure fares value proposition room spacious little outdated rooms decent views lower floor drab panaroma parking lot buildings adequate fitness center sauna pool basement quaint barrestaurant attached hotel parking day outrage possibly standard downtown street parking weekend save dollars willing stay future price significantly lower nearby fourstar competition "
"29","nice hotel husband stayed warwick years ago liked hotel location hesitate book tripwe asked received nonsmoking room king bed high floor hoping hotel nice view space needle checkin nice friendly keys minutes nice room small loveseat juliet balconylove location hotel just block away best restaurants downtown dahlia lounge palace kitchen lola small grocery storeminimart right street wine easy walk pike place marketon site hotel nice restaurant lounge area ate breakfast hotel drinks loungebar times good servicewe nt chance use look pool exercise room located basement pool small definitely useable exercise room variety machines weights newest market definitely decent machines kept neat clean exercise room plenty towels water cooler availablei think ran maid days leaving friendlywe used business center couple times consisted computers free internet printer just needed ask key desk nice handyoverall thought staff helpful hotel quiet good location definitely met expectations stayed years ago definitely return hope soon "
"30","good hotel large hotel newly decorated rooms good size clean excellent location blocks centre town blocks market areahotel resturant bustling place alot diners coming street good meal thereoverall highly recommend staying "
"31","good choice seattle stayed night business booked company overall satisfactory arrived late evening room th floor clean comfortable great view bathroom little small clean equipped good night sleep enjoyed excellent breakfast restaurant checking staff encountered friendly polite "
"32","great location expensive parking warwick heart seattle easy walking distance pikes place monorail terminal downtown shops stayed twice recently start finish tour pacific north west staff helpful knowledgable rooms large comfy armchair large bedded room rooms fridge coffee makerparking site expensive guess reflects city centre parking prices free zone travel seattle buses cheap free travel central seattle handy grocery store opposite "
"33","noise airconditionera standard arranged stay travel agency unfortunately warwick seattle hotel dissapointment trip night stay warwick changed rooms starting minute stay hotel personnel didnt make feel like guest like intruder reluctant help solve complaints hotel right downtown minutes really good restaurants like good thing availability room offered nd floor window directly opening car parking level changed room rooms loud sound coming air conditioner heating unbelievable hotel hotel personnel told standard noise rooms tried avoid using night order sleep possible watching tv loudly "
"34","good location poor cleanliness warwick hotel great location seattle close shopping pike place seattle centre really lets hotel cleanliness bed linen torn curtains torn floor stains hotel advertises balcony reality disappointment stayed hotel san diego balcony table chairs warwick balcony inchesthe view rooms view space needle terrific nt make poor cleanliness check staff pleasant unpleasant decided sample restaurant ralph deli street great snacks cafethere plenty better hotels seattle slightly money warwick choose eg hotel andra "
"35","good place spending big bucks warwick plenty comfortable nice nice view space needle room nt expect balcony just inch ledge ironwork falling overboard open patio door partially step view lake union elliott bay morning space needle hidden clouds neat sunny weather cloudy needed warwick complaints "
"36","nice hotel trip seattle wanted stay downtown good rate hotel decided stay warwick clean stayed th floor excellent view space needle downtown nice able open sliding door let cool air bed comfy pillows room clean parking problem use hotel parking staff friendly helpful ask key business center computers needless say hassle use computers acquire key restaurant good breakfast hotel walking distance major attractions like stated space needle pike market mins away walking opted drive therewe pleased hotel stay "
"37","great value seattle spouse stayed warwick seattle days september hotel disappoint reasonably priced stay downtown area easy walk sightseeing attractions blocks waterfront free bus seattle figure worked research room king bed spacious nicely appointed comfortable plenty pillows coffee room course great seattle bath finished marble deep tub handheld shower nice touch toiletries average huge consideration complaints concerned desk reservations trip leg olympic penninsula decided cancel second reservation arrived hotel day travel desk clerk kept waiting minutes hello moved second desk clerk free told reservation attempt look walk stairs parking garage confirmation luggage reservation following day office tried told nt staying parking day pretty steep option parking seattle scarce hotel nt shuttle option cab hotel restaurant adequate really great breakfast walk block mayflower park hotel pricey fabulous "
"38","gem hotel absolute gem small great service room huge certainly adequate clean comfortable ask room high floor great view downtown space needlebest attentive staff concierges friendly helpful shuttle drivers went way literally victoria ferry pick convenientwould recommend "
"39","pretty good value visit seattle frequently days longer staying nights worth especially hotel raised rates lately recommend ramada steps away staying longer time perfect especially families fancier hotels town warwick satisfy families especially expensive suites swimming pool bit dark balconies acually just big step windows views location perfect small restaurant dont overpriced offer better food downtown "
"40","average nice stay hotel amazing location great restaurants gourmet grocery cinerama block radius macy nordstroms shopping blocks mattress comfy amazing sweeping view space needle lake union downtown elliott bay great pool gym facility room service nothing write home nt pizza parking yikes old building nicely remodeled "
"41","bad choice booked hotel hot wire called immediately requesting nonsmoking room king bed room away elevatoricethe person spoke pleasant stated guarantee requests honored make note reservation checkin person desk rude said special request noted reservation card andstated king beds way reservation stuck double beds located directly accross elevator ice nonsmoking elevator parking garage hotel warwick mats garage filthy stairwells hotel faces th smells urine carpets registration elevator area need cleaning upholstery curtains room needed cleaning andpressing sign bathroom water conservation tub facet dripped continuously tub drain needsattention shower curtain holes coffee maker room bedding fit bed sleeping directly mattress bedding askew staff unfriendly short housekeeping staff quite pleasant stay hotel "
"42","good value hotel stayed warwick times past years spent night march room fine king bed tv pay view movies minifridge thing missing coffee maker nice marble bathroom hand held shower view east hotel space needle time viewed westin hotel towers price right got miles aadvantage card fly ointment overnight parking charge definately come location great "
"43","warwick bad good reviews warwick shocks staff quite rude rooms fairly dirty cut asked bandaid requested bottle opener better service "
"44","great service warwick just recently spent days christmas holidays warwick helpfulness care courtesy experienced desk restaurant room service housekeeping staff truly average greatly appreciated restaurant turned fabulous meals time certain operating skeleton staff thing prevents giving place excellent rating following hotel tired old dirty carpets bedding expect hostel given price range rooms face lift necessary "
"45","austin powers decor familiar hotel seattlewhere sheets different colors hairbut okbecause clean second daythe bathroom friend cringeshe asked brought flip flops sanitizer spraythe dirty shag carpet nt stop wallit crawled inchesi star saw shining worse "
"46","great location nt stay long needed place stay seattle prior catching early morning amtrak train portland looked train station dropping hertz car hilton downtown just wanted place spend night called hotel seattle based location tourist map near hilton nt access internet research reviews stay location great virtually door high end hotels half price hilton thought try checked asked aaa discount clerk response time heard hotel desk clerk knowing aaa room used low budget movie version run hotel threadbare carpets dingy curtains quite hanging right minimal lighting strange hanging light middle room dingy bathroom definitely dingy appear obviously dirty ac luckily nt need bed particularly comfortable little boucy people definitely gravitated middle clock room wake requestedit ok spending night nt want spend positive great safe location quick taxi ride train station shower great invested low flow shower heads water pressure really high really enjoyed conversation desk clerk morning mentioned clerk previous night heard aaa told clerk moron owner asked interview went say check reviews trip advisor listed worst hotels seattle got ta love type enthusiastic employee worked night friend day clerk mention nicer rooms definitely nt want nice ones recommend ask room committing "
"47","pay read reviews booked knew getting mind nt surprised fact better expected yes rooms outdated towels floormat limited cable tv overall lack amenities use hotel reviewer said like budget overseas hotel stayed similar condition just enjoyed experience check desk service great asked extra pillows maid got spent flowers pike street added character roomlocation friends stayed fairmont street stayed nights night cost money went dinners trip victoria baseball games "
"48"," bad location unmatchable price range simple sleeping room expect pay x surprisingly cleaner hotels seen past week driving la staying travelodge days inn motel quality furnishings high sure little run spots just old building usual character flaws none affected comfort lucky corner room especially nice look w know paying night bath worked nt care watch tv vacation idea worked want believe comments feel free mean room come "
"49","remarkable hotel needed days booked inn based tripadvisor reviews great hotel staff professional accomodating town car service available airport immaculate rooms spacious bathroom great location great hotel price great hotel room facing inner coutyard problem noise rooms face st noisy location excellent downtown seattlewent attached restaurant bacco breakfast cafe champagne dinner excellent "
"50","great location friendly staff stayed hotel easter throughly enjoyed time superably located exploring seattle especially market rooms good sizethe staff friendly helpful reception area welcomingour room exit stairwell night hear rumbling assume like air conditioning pipes "
"51","excellent way stayed inn market memorial day weekend room large great view water sure request way advance hotel quiet fully booked crowded service impeccable staff wellmannered friendly ca nt fault anythingit great location right pike place market near lots great restaurants like etta chez shea "
"52","amazing location great views fabulous boutique hotel adjacent fish market seattle stayed short night heading vancouver island honeymoon loved service great desk pointed great spot sandwiches pm sunday easy hotel adorable chocolate covered strawberries room decorated like bride groom thoughtful cute touch nt time explore area hotel room clean pretty view watermarket bathroom nicer standard hotel bathroom brunch morning little breakfast place tasty hit spot drive ferriesoh hotel cool outdoor patio higher floors offers really incredible viewsa stone throw pike place market "
"53","outstanding choice reserved city view room night week checkin helpful desk staff amy gave complimentary upgrade th floor water view access large deck overlooks seemingly checkin housekeeping valet services checkout smooth friendly pike place market close silly staff great recommendations breakfast dinner trying steer house restaurant stay say absolutely excellent rooms clean appointed reason reserve room timealthought fairmont better choice kids come "
"54","great hotel great hotel good sized clean rooms helpful staff unbeatable location walk door pikes market original starbucks hotel walked underground tour monorail space needle duck tours stay "
"55","expensive biz travellers simple fact hotel location simply unbeatable mere stone throw away pike market plenty great restaurants generally fun area tourist quality hotel soso place business travellers bit hard especially just returned trip hk stayed conrad hk wynn macau compared inn feels like motel issues desks rooms place laptops wireless internet place work bed furniture coverings worned just outdated room city view room room date avoid cost window sits right bus stop claim windows double paned hear buses roaring engines sleep ear plugs desk ac standalone unit attached wall central standalone unit quite bit noise looks cheap tacky business center fax machine located basement hotel price pay paying location staff extremely friendly folks check fried doughnuts dhalia lounge "
"56","nice place lunatic miles flying space days night kill seattle early transcon flight nyc night original plan needed hotel none prebookedthis place recommended just block excellent irish pub kells just happened ended injust room left taxexcellent friendly staff lovely decor big rooms im used nyc rabbit hutch big spacious views water free wifi just need ask reception access code place spotless nicely decorated individual usual bland chain hotels sadly prevailthe area felt finein limited time safe near bars shops usual stuff drunken noise street eitherit quiet comfortable slept wellnormally like add pictures reviews length stay lack ca nt time sorry return seattle list hotels use try "
"57","okay amazing husband stayed weekend night spent time trying great place stay seattle read tripadvisor reviews saw listed tl hotels like pretty good bet fantastic place great fine just really amazing little boutique hotel expected reviews ratings thought room nice incredible service better woman desk friendly got things wrong note visiting seattle try eat canlis incredible meal "
"58","boutique charmer great location wife recently spent nights inn market attended convention nice time small comfortably furnished hotel great location just hill pike place market walk convention center blocks east pretty easy steep block adjacent hotel number trendy restaurants walk north ave pioneer square old stone buildings charming pergola south road course market block west food stands boutiques fish flower stalls handicrafts jewelry tables entertainers ethnic dining options spill narrow alleys covered arcades pleasure wake morning grab eat nearby watching small trucks vans unload wares vendors set tablesour room corner overlooking city spacious lots storage space wardrobe large bathroom sink pedestaltype spreading toiletries limited glass shelf nearby small tableshelf unit hear traffic noise street annoying request lowestpriced room city nt expecting total silence closed doors rooms window seats pillows nice feature makes rooms appear bigger provides additional seating good spot reading peoplewatching decor contemporary beiges browns blacks predominating good weather upstairs terrace nice place sit enjoy views bay marketthe modern brick building surrounds pleasant courtyard splashing fountainsculpture adjacent outdoor seating hotel restaurant lobby opens courtyard fireplace stuffed chairs registration desk helpful staff operateswe enjoyed time hotel nice option nt want large convention hotel central seattle location aware seattle share street people couple strip clubs near pike place market "
"59","loved inn inn market awesome beat location right market room large beds really comfortable room partial view elliot bay nt miss rooftop deck best view seattle short space needle staff friendly highly recommended staying future "
"60","nt asked better hotel experience hotel perfect stayed townhouse suite nights wish stayed month soon walked room opened windows million dollar view skyline city pike market literally feet away water mountains distance room levels kitchenette living room downstairs bedroom bathroom upstairs bose radio great fact turned television beds really comfortable linens topnotch okay service word fantastic extremely important greeted casual genuine manner time enter leave hotel eyecontact sounds easy rarity today hotel market matter came went greeted smile eye contact really love staff helpful went duty ensure taken care knew great places wonderful restaurants dine atsome hotels just nt inn market definitely understands excellent service hospitality stay small intimate property like taken care monstrous hotel kudos staff management making fabulous hotel experience "
"61","nice needs undating husband stayed inn market celebrate birthday overall stay wonderful enjoyed twostory suite incredible view market sound quiet location perfect complaint hotel needs better job keeping maintainance room major scratches walls stains carpets cracks bathroom tile significant signs wear bathroom price expected regards quality upkeep hopefully management pay attention keeping lovely hotel fresh lovely "
"62","wonderful location great beds pretty rooms inn market lived positive reviews tourists car location nt better countless excellent restaurants easy walking distance rainy able explore area race hotel warm got wet cold socal little tolerance weather staff friendly view deck glorious dark day room spacious beds extremely comfortable hotel stay seattle great fun uncooperative weather "
"63","tempurpedic beds minute literally driving past way hotel decided stay great staff extremely helpful accommodating room really comfortable clean location excellent atmosphere location hotel great choice previously stayed grand hyatt returning room internal facing left bit loud tempurpedic mattress huge bonus fun try way restaurant courtyard desk staff suggested try turned excellent view deck great stay "
"64","loved inn stayed inn market location hotel perfect sightseeing getting seattle car nt want drive seattle pikes market street waterfront steps monorail space needle short walk plenty great places eat short walk cab ride service conceirge staff inn terrific helpful recommending arranging sightseeing excursions mt ranier whale watching vineyard tours etc complimentary town car available trips downtown area great help dinner reservations rooms immaculate twice day room service included turn evening fresh towels decor rooms modern elegant nt miss roof garden area great view puget sound great place unwind end day bottle wine definetly return inn "
"65","worth money location recently stayed inn market returning stayed best location seattle particularly shopping hotel nice rooms nicely furnished breath away rooms views risky goes seattle sit room watch world beds tempurpedic incredible count great night sleep staff excellent requested room floor terrace met request pleasantly guests advantage terrace nice evening shops pine street purchase nice bottle washington state wine snacks head terrace watch ships leave sunset relaxing romantic staff assist wine glasses needed "
"66","hated inn terrible roomservice horrible staff unwelcoming decor recently updated lacks complete look managment staff horrible "
"67","loved inn husband wanted romantic away night inn perfect met imagined rooms clean quiet comfortable bath robes nice touch staff helpful location great good restaurants walking distance market right fun visit time free bus service close visit sites city beware parking hotel valet costs night mentioned desk person away cost mentioned web page expected pay removed charge great customer service wonderful deck overlooking puget sound recommend inn planning long visit just romantic away "
"68","ace place husband stayed ace hotel seattle nights excited book room style hotel far alley floral bb motel happy impressions room decent sized bright corner windows it„á„© pictured website shepard fairey wall asked desk clerk parking state website street parking available nt tell got street parking stay start charging„á nt lot info drug luggage room headed bed things got worse bed size listed website assumed queen beds sized sleeping comfortably little difficult nt sleep happening room room bar loadingdelivery zone corner bus stop noise staggering continued night morning wake early feed meter glowing light hall showing window door annoying saw turned day requested fairness rest staff dealt nice accommodating unable following night hotel plus shared bathrooms issue finding free breakfast include coffee tea fresh waffles toast granola juice yogurt apples piles good magazines available guests robes rooms use second night slept slightly better used earplugs acceptable solution wake early deal car night moved smaller interior room considerably quieter downed music hear fan hall bathrooms room walls definitely felt like dorm room sleep better recommend hotel traveling friends plan sleeping loud roommates come home drunk play loud music time location good walking attractions like space needle market good restaurants nearby just don„á„© know stay "
"69","pay location location perfect walking distance lot stairs bags problem elevator available clean noisy woodden floors hear rooms street breakfast included good conclusion good compromise "
"70","ace grunge lives mold mildew tiny bed metal sink cool extra instead nightsta "
"71","ace hotel reasonably priced hotel great location seattle spent nights room staff great communal showers immaculate queue breakfast great bit street noise coming floor ear plugs room highly recommend bar cyclops hotel "
"72","disappointed arranging anticipated girl weekend friend escape children excited sleeping night children want enjoy hip places cool design stay boring runofthe hotel opted ace hotel digs order ensure maximum uninterrupted sleep booked separate rooms arrival hotel informed hotel mixup online reservation room small queensized bed supposedly deluxe room normally suck accept just simple mistake time really annoyed irritation partially attributed overall nonchalant attitude ubercool reception person nt really attempt compensate slightly lower rate room fact checked reservation printed sheet refused let look friend asked wanting crossreference information sheet written reservation strange appeared mistake nt want admit quick blame online booking inference fault booking online add insult injury told shelling small fortune parking lot street parking reduced rate lot easily marked room dingy charming photos website suggest couple rooms walking corridors looked lot better room didanyway aside great location decently priced overall experience just nt impressive days later received email hotel thanking staying hope enjoyed stay responded email outlining frustrations accomodation like time really needed air dissatisfaction hotel manager replied apologetic email offered discount later night stay redeemed st like positive response negative experience planned return hotel husband romantic away socalled compensatory offer acknowledged multiple attempts contact manager specific date weekend messages nothing return messages nt know happened reply guess hotel nt need business experience isolated case event planning stay ace time soon "
"73","ace hotel awesome stayed seattle ace hotel days loved great location belltown directly opposite macrina bakery quite possibly best breakfastbrunchlunch place seattle wtih fabulous baked goodsall staff friendly helpful checkin friendly receptionist forgot ask sorry gave fabulous food recommendations city tried loved foodies extemely important good recommendations localsthe room small totally adequate shared bathrooms shower rooms spotlessly clean enjoyed simplicity hotel little extra touches like adjustable lighting music bathrooms free current magazines available lobby breakfast granola really yummy toofor location amenities price say ace hard beat "
"74","perfect way stayed ace seattle short time august perfect hotel things need none things nt great design super comfy great location staff friendly knew cool places helpful way rooms super stylie great art ammenities really need loved place planning make sepcial trip portland check ace portland apparently turntables rooms library vinyl check "
"75","interesting comfortable base seattle really enjoyed time interesting decor unique touches super clean tidy bathrooms shared spacious clean available breakfast adequate fresh simple quite healthy nice change usual cardiac inducing breakfast fare served hotels definitely stay "
